HB030,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,DB090,AP,SL,M_K
106451,4,1,2,1983,2,1,,600.0,446.42,0,1,1,,3.0,,1,1,1,1,1,1,1,1,5,6000,3,,2,1,2,2,18211.0,16572.01,16572.01,16572.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,1638.99,0,0.0,315.95215,3,3,1
106452,4,1,1,1994,2,1,,250.0,300.0,0,1,1,,3.0,,2,2,2,1,1,1,3,1,2,1400,1,,2,2,2,2,27920.87,24650.63,15854.63,15854.63,0.0,0.0,156.0,156.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,350,0,0,2920.24,183,0.0,165.81519,2,2,1
106453,1,1,3,1988,1,1,,200.0,170.17,0,1,1,,3.0,,2,1,2,1,1,1,1,1,3,3000,2,,1,2,2,2,20722.97,18736.32,9020.54,9020.54,0.0,0.0,92.26,92.26,0.0,0.0,0,0,0.0,0.0,0,0.0,0,108,0,0,1878.65,33,5484.1,261.18944,1,7,2
106454,4,1,3,1982,2,2,,800.0,356.25,0,1,1,,3.0,,2,1,2,1,1,1,1,1,2,3000,1,,2,2,2,2,66097.31,52699.07,44633.51,44633.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,13398.24,0,0.0,203.77313,10,1,1
106455,1,1,3,1955,2,1,,50.0,277.67,0,1,1,,3.0,,2,1,2,1,1,1,1,1,5,2000,2,,2,1,1,2,21931.43,18975.6,16377.82,16377.82,0.0,0.0,1248.0,1248.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,2955.83,0,1107.91,86.37680999999999,1,6,1
106456,1,1,4,1942,2,1,,,155.67,0,3,3,,3.0,,2,1,2,1,1,3,1,1,3,2000,2,,2,2,2,2,0.0,-75.0,-75.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,75,0,0,0.0,0,0.0,869.4106,3,7,2
106457,4,1,3,1976,2,1,,1.0,323.33,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,2000,2,,2,2,2,2,39626.36,30969.6,29108.07,29108.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,8656.76,316,0.0,214.30392,1,6,1
106458,4,1,2,2000,2,1,,,500.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,,2,2,2,2,69942.94,55243.86,48310.3,48310.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,50,0,0,14649.09,712,0.0,803.13373,2,2,1
106460,4,1,3,1990,2,1,,900.0,501.83,0,1,1,,3.0,,1,1,2,1,1,1,1,3,3,3000,1,,2,2,2,2,54684.05,42162.85,42162.85,42162.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,12521.2,0,0.0,675.5919700000001,10,1,1
106461,1,1,5,1983,1,2,,600.0,251.58,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,2000,3,,2,1,2,2,68825.93,52997.97,49192.78,49192.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,123,0,0,15704.96,-88,0.0,254.9555,6,4,1
106464,4,1,2,1980,2,1,,200.0,317.42,0,1,1,,3.0,,1,1,2,1,1,1,1,1,3,2500,2,,2,2,2,2,39794.53,30283.02,30283.02,30283.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,9511.51,-39,0.0,159.26905,9,6,1
106465,4,1,3,1989,2,1,,700.0,600.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,4000,2,,2,2,2,2,62145.55,47668.42,47143.23,47143.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200.0,200.0,0,0.0,0,0,0,0,14477.13,1497,0.0,341.62352000000004,2,2,1
106466,3,1,1,1960,2,1,,1.0,159.76,0,3,3,,3.0,,2,1,2,3,1,3,1,3,3,2000,2,,2,2,2,2,10748.54,10748.54,10711.44,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,953.62675,5,7,2
106467,4,1,3,1996,2,2,,700.0,454.25,0,1,1,,1.0,3.0,1,1,2,1,1,1,1,1,3,3000,2,2.0,2,2,2,2,62199.13,49486.31,45586.31,45586.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200.0,200.0,0,0.0,0,0,0,0,12712.82,588,0.0,509.73602999999997,10,1,1
106468,4,1,2,1968,2,2,,,600.0,0,1,1,,2.0,,2,2,2,1,1,2,1,2,1,6000,1,,2,2,2,1,35926.6,31721.83,26938.07,16205.77,0.0,0.0,0.0,0.0,3465.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,4204.77,0,0.0,285.80715,3,3,1
106470,1,1,3,1968,2,2,,1.0,191.33,0,1,1,,3.0,,2,2,2,1,1,2,1,2,2,2500,1,,2,2,2,2,15619.64,15171.36,15171.36,4532.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,448.28,0,1355.85,254.38242999999997,8,7,2
