PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10645101,106451,141.71387,56,1,,,10645103.0,,,,,,,2.0,1.0,2.0,,1990.0,5.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,31.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,12.0,2.0,1.0,25273.92,19583.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645103,106451,141.71387,52,2,,,10645101.0,,,,,,,2.0,1.0,2.0,,1980.0,4.0,3.0,2.0,3.0,2.0,,2.0,,1.0,1.0,1.0,10.0,3.0,52.0,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645201,106452,70.34627,56,1,,,10645202.0,,,,,,,2.0,1.0,2.0,,1994.0,4.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,13.0,1.0,2.0,12146.23,9976.49,0.0,0.0,3719.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645202,106452,70.34627,52,2,,,10645201.0,,,,,,,2.0,1.0,2.0,,1982.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,23.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,12.0,1.0,2.0,18274.57,16800.0,0.0,0.0,2974.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645203,106452,70.34627,18,2,10645201.0,10645202.0,,,,,,,,1.0,3.0,1.0,3.0,2010.0,2.0,,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4158.0,0.0,2,2,1
10645301,106453,128.21903,56,1,,,10645302.0,,,,,,,2.0,1.0,2.0,,1974.0,4.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,,15.0,1.0,2.0,16214.25,13389.94,0.0,0.0,3581.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,2
10645302,106453,128.21903,54,2,,,10645301.0,,,,,,,2.0,1.0,2.0,,1988.0,4.0,4.0,1.0,1.0,2.0,,2.0,,1.0,2.0,,8.0,3.0,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,283.65,258.14,0.0,0.0,87.89,0.0,0.0,0.0,0.0,0.0,0.0,9379.11,0.0,0.0,0.0,0.0,0.0,1,7,2
10645303,106453,128.21903,20,1,10645301.0,10645302.0,,,,,,,,1.0,3.0,1.0,3.0,2008.0,2.0,,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,17120.0,14362.05,0.0,0.0,1815.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,1,7,2
10645401,106454,114.68321,56,1,,,10645402.0,,,,,,,2.0,1.0,2.0,,1988.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,11.0,1.0,2.0,28830.59,22181.14,0.0,0.0,8933.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3670.06,0.0,10,1,1
10645402,106454,114.68321,53,2,,,10645401.0,,,,,,,2.0,1.0,2.0,,1981.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,,13.0,1.0,2.0,25946.36,20076.35,0.0,0.0,8039.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1
