PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
1059070001,10590700,452.9616,69,1,,,1059070002.0,,,,,,,2.0,1.0,2.0,,1964.0,300.0,3.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,73.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,19.0,37.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12884.88,0.0,0.0,0.0,0.0,0.0,1,6,1
1059070002,10590700,452.9616,68,2,,,1059070001.0,,,,,,,2.0,1.0,2.0,,1965.0,300.0,3.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,73.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,33.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13086.72,0.0,0.0,0.0,0.0,0.0,1,6,1
1059080001,10590800,835.60789,60,1,,,1059080002.0,,,,,,,2.0,1.0,2.0,,,400.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,96.0,40.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.0,,18.0,38.0,13.0,1.0,2.0,15002.22,12000.87,0.0,0.0,4847.98,0.0,0.0,0.0,0.0,939.3,749.73,0.0,0.0,129.08,112.05,0.0,0.0,1,6,1
1059080002,10590800,835.60789,57,2,,,1059080001.0,,,,,,,2.0,1.0,2.0,,1981.0,700.0,4.0,1.0,2.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,23.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24.0,31.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5141.59,5141.59,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
1059080003,10590800,835.60789,24,1,1059080001.0,1059080002.0,,,,,,,,1.0,3.0,2.0,,2012.0,600.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,21.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,,22.0,1.0,13.0,1.0,2.0,16026.96,12815.82,0.0,0.0,5053.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
1059100001,10591000,102.16463,54,1,,1059100002.0,,,,,,,,1.0,3.0,2.0,,1984.0,600.0,5.0,2.0,1.0,2.0,,2.0,,1.0,2.0,,8.0,3.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,22.0,27.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9924.6,0.0,1,6,1
1059100002,10591000,102.16463,82,2,,,,,,,,,,4.0,3.0,2.0,,1958.0,600.0,3.0,2.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,23.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,26.0,33.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9198.72,840.0,0.0,0.0,0.0,0.0,1,6,1
1059100003,10591000,102.16463,50,2,,1059100002.0,,,,,,,,1.0,3.0,2.0,,1986.0,600.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,26.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.0,,24.0,26.0,12.0,1.0,2.0,24060.12,18690.72,0.0,0.0,7453.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.77,1579.51,0.0,0.0,1,6,1
1059110001,10591100,1683.82812,40,1,,,1059110003.0,,,,,,,2.0,2.0,1.0,60.0,1992.0,300.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,33.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.0,,18.0,20.0,12.0,1.0,2.0,37367.53,28560.45,0.0,0.0,11576.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
1059110002,10591100,1683.82812,2,2,1059110001.0,1059110003.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
