HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10590700,206.44665,4,1,2.0,1980,2,2,,80.0,140.0,,1,1,,3.0,,2,2,1,3,3,1,1,2,500.0,2,,2,2,2,2,8573.02,8560.02,8560.02,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,13.0,0,0,0.0,0,0.0,1,6,1
10591000,44.34199,1,1,5.0,1971,2,1,,150.0,127.5,,1,1,,3.0,,2,1,1,2,1,1,1,3,1200.0,2,,2,2,2,2,14373.79,12930.56,9767.26,6613.28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.470000000000001,6.470000000000001,0,0.0,0.0,14.0,0,0,1429.23,-375,0.0,1,6,1
10591100,631.66964,1,2,4.0,2012,2,1,,100.0,273.84000000000003,200.0,1,1,3.0,3.0,,2,1,1,1,1,1,1,3,1200.0,2,,2,1,2,2,22616.67,18205.29,17419.53,17419.53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2100,0.0,0.0,41.0,0,0,4370.38,-141,0.0,1,6,1
10591200,534.59215,4,1,1.0,2003,2,1,,,83.0,,1,1,3.0,3.0,3.0,2,1,2,1,2,1,2,3,400.0,2,,2,2,2,2,2948.94,2948.94,2948.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1,6,1
10591300,117.08666,4,1,4.0,1978,2,2,,200.0,260.0,,1,1,3.0,3.0,,2,1,1,1,1,1,1,3,800.0,3,,2,2,2,2,15019.08,12999.94,12999.94,6637.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,223.63,201.63,0,0.0,0.0,84.0,0,0,1935.14,0,0.0,1,6,1
10591400,178.40342,4,1,3.0,2004,2,1,,,130.0,,1,1,,3.0,,2,1,2,2,3,1,3,3,900.0,2,,1,2,2,2,5423.25,5423.25,3237.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1,6,1
10591500,328.90282,4,1,2.0,1998,2,2,,100.0,153.0,,1,1,,3.0,,1,1,1,2,1,1,1,3,900.0,2,,2,2,2,2,24228.42,18569.81,18569.81,18569.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,5658.61,-36,0.0,1,6,1
10591600,513.52469,4,1,3.0,2009,2,2,,100.0,250.0,,1,1,3.0,3.0,3.0,2,1,1,1,1,1,1,3,900.0,2,,1,2,2,2,15622.02,12457.05,12420.66,12420.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,13.0,0,0,3151.97,-199,0.0,1,6,1
10591800,78.72134,1,2,7.0,2003,2,1,,,275.67,35.0,1,1,3.0,3.0,3.0,1,1,1,1,1,1,1,5,1500.0,3,,2,2,2,2,57693.18,53322.86,52827.68,52827.68,8000.0,6916.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,180,0.0,0.0,229.09,0,0,4141.23,-4,0.0,1,6,1
10592300,122.46363,4,1,3.0,1959,2,1,,,289.75,,1,1,,3.0,,1,1,1,1,1,1,1,3,4000.0,2,,2,2,2,2,30672.39,24568.23,24466.96,20368.84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.64,12.64,0,0.0,0.0,0.0,0,0,6104.16,-58,0.0,1,6,1
10592400,181.9471,4,1,4.0,1984,2,2,,80.0,150.0,,1,1,,3.0,,2,1,2,3,3,1,1,3,800.0,2,,2,2,2,2,7930.12,7919.12,7919.12,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,11.0,0,0,0.0,0,0.0,1,6,1
10592600,166.25913,4,1,2.0,1987,2,2,,100.0,160.0,,1,1,,3.0,,1,1,1,3,1,1,1,3,900.0,2,,2,2,2,2,9272.71,8217.28,5141.66,2644.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,16.67,0,0,1038.76,0,0.0,1,6,1
10592700,193.2867,4,1,3.0,1983,2,2,,100.0,180.0,,1,1,,3.0,,1,1,1,2,1,1,1,3,1000.0,2,,2,2,2,2,15422.09,12658.63,12658.63,12658.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.12,0.12,0,0.0,0.0,28.0,0,0,2735.46,-121,0.0,1,6,1
10592800,375.86793,1,1,9.0,1992,2,1,,,120.0,,1,1,,3.0,,1,1,1,1,1,1,1,3,5500.0,2,,2,2,2,2,49000.78,33832.55,30615.0,28337.82,0.0,0.0,1791.83,1550.91,91.2,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,6000,0,9168.23,-339,0.0,1,6,1
10592900,340.597,3,1,2.0,2011,2,2,,250.0,225.0,,1,1,,3.0,,1,1,1,1,1,1,1,5,1500.0,2,,2,2,2,2,14658.49,13092.39,12307.92,12307.92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,34.0,0,0,1532.1,0,0.0,1,6,1
10593000,97.32299,1,1,6.0,2003,2,1,,500.0,192.5,,1,1,,3.0,,1,1,1,3,1,1,1,4,1000.0,2,,1,2,2,2,68448.05,66874.21,66874.21,66874.21,776.0,776.0,0.0,0.0,0.0,0.0,0,0,6.9,6.9,0,0.0,0.0,83.0,0,0,1490.84,-20,0.0,1,6,1
10593100,221.64113,4,1,3.0,1975,2,2,,70.0,141.67,,1,1,,3.0,,1,1,1,1,3,1,1,3,800.0,2,,2,2,2,2,24018.28,20164.41,20164.41,12437.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,14.0,0,0,3839.87,0,0.0,1,6,1
10593300,244.21999,4,1,3.0,1983,1,1,,90.0,160.0,,1,1,,3.0,,1,1,2,3,1,1,1,3,1500.0,2,,2,2,2,2,4462.7,4780.37,4650.26,4650.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,-317.67,-1190,0.0,1,6,1
10593400,157.38493,4,1,1.0,2004,2,2,,25.0,52.83,,2,2,,3.0,,2,1,2,2,3,1,3,3,800.0,2,,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1,6,1
10593500,197.48876,4,1,5.0,1998,2,1,,150.0,210.0,,1,1,,3.0,,2,1,1,3,1,1,1,3,800.0,2,,2,2,2,2,8934.11,8455.86,7766.21,2915.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20.0,0,0,458.25,-222,0.0,1,6,1
10593600,203.36267,4,1,2.0,1983,2,2,,1.0,150.0,,1,1,,3.0,,2,2,1,3,3,1,3,2,300.0,1,,2,2,2,2,3919.68,3919.68,3919.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1,6,1
10593700,281.00159,1,1,7.0,1978,2,1,,1.0,148.25,,1,1,,3.0,,1,1,1,1,1,1,1,4,600.0,3,,2,2,2,2,36612.95,33699.73,33699.73,28810.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,70.65,0,0,2842.57,0,3000.86,1,7,2
10593800,355.8777,1,1,5.0,1990,2,1,,1.0,88.33,,1,1,,3.0,,2,1,1,3,3,1,1,3,600.0,2,,2,2,2,2,4029.9,4014.9,3477.0,1395.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,15.0,0,0,0.0,0,449.43,1,7,2
10593900,358.3384,2,1,3.0,1965,2,1,,1.0,62.25,,2,2,,3.0,,2,1,2,1,1,1,1,4,500.0,3,,2,1,2,2,8722.2,8656.2,2661.82,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,66.0,0,0,0.0,0,0.0,1,7,2
10594000,744.43343,1,1,4.0,1968,1,2,,1.0,52.08,,3,3,,3.0,,2,2,1,3,3,1,3,2,300.0,1,,2,2,2,2,2342.76,2342.76,2342.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1,7,2
10594200,411.87491,1,1,3.0,2007,2,2,,50.0,235.83,,1,1,,2.0,1.0,2,2,2,2,1,1,1,1,1200.0,1,1.0,2,2,1,2,7273.2,7158.65,3944.44,81.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20.0,0,0,94.55,-113,0.0,1,7,2
10594300,232.07804,1,1,5.0,1960,2,1,,50.0,130.99,,1,1,,3.0,,2,1,1,3,3,1,3,3,500.0,2,,2,2,2,2,6808.9,6808.9,6808.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1294.62,1,7,2
