PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,PD020,PD030,PD050,PD060,PD070,PD080,AP,SL,M_K
1000040001,10000400,484.06244,19,1,1000040003.0,1000040002.0,,,,,,,,1.0,3.0,2.0,,2017.0,354.0,,2.0,3.0,,,,,,,,1.0,3.0,51.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,56.0,,18.0,1.0,13.0,1.0,2.0,6367.75,5400.0,0.0,0.0,1843.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.48,412.74,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1,1
1000040002,10000400,484.06244,46,2,,,1000040003.0,,,,,,,2.0,1.0,2.0,,1991.0,300.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,75.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,,19.0,23.0,13.0,1.0,2.0,8138.6,6600.0,0.0,0.0,2513.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.07,87.81,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1,1
1000040003,10000400,484.06244,44,1,,,1000040002.0,,,,,,,2.0,1.0,2.0,,1995.0,400.0,,2.0,3.0,2.0,,2.0,,1.0,2.0,,7.0,3.0,54.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,21.0,,1.0,2.0,8905.36,6960.6,0.0,0.0,2822.56,0.0,0.0,0.0,0.0,0.0,0.0,2795.28,0.0,1089.77,884.22,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1,1
1000040004,10000400,484.06244,25,1,1000040003.0,1000040002.0,,,,,,,,1.0,3.0,2.0,,2012.0,344.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,81.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,,19.0,5.0,13.0,1.0,2.0,15764.32,11612.07,0.0,0.0,5198.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.19,745.06,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1,1
1000050001,10000500,186.77438,47,2,,1000050003.0,,,,,,,,1.0,3.0,2.0,,1993.0,600.0,3.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,23.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,85.0,,22.0,26.0,13.0,1.0,2.0,13920.03,10899.13,0.0,0.0,4035.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,1,1
1000050003,10000500,186.77438,72,2,,,,,,,,,,4.0,3.0,2.0,,1962.0,300.0,4.0,1.0,2.0,2.0,,2.0,,2.0,,,7.0,,,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.16,350.88,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,10,1,1
1000060001,10000600,307.50238,45,2,,,1000060002.0,,,,,,,2.0,1.0,2.0,,,300.0,3.0,1.0,3.0,,,,,,,,2.0,3.0,33.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,68.0,6.0,18.0,27.0,15.0,1.0,2.0,708.0,644.27,0.0,0.0,220.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,10,1,1
1000060002,10000600,307.50238,45,1,,1000060003.0,1000060001.0,,,,,,,2.0,1.0,2.0,,,400.0,2.0,2.0,3.0,,,,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,,,27.0,15.0,1.0,2.0,8317.56,6478.37,0.0,0.0,2810.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,10,1,1
1000060003,10000600,307.50238,76,2,,,,,,,,,,3.0,3.0,2.0,,,0.0,,2.0,3.0,2.0,,,,2.0,,,7.0,,,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.7,252.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,10,1,1
1000060004,10000600,307.50238,0,2,,1000060005.0,,,,,0.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,1
