HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10000400,484.06244,4,1,5.0,1992,2,1,,320.0,146.67,,1,1,,3.0,,1,1,1,1,1,1,3,1200.0,2,,2,2,2,2,44600.82,35544.78,32915.27,30119.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,9056.04,-47,0.0,10,1,1
10000500,186.77438,4,1,3.0,1973,2,1,,110.0,100.0,,1,1,,3.0,,2,1,1,1,1,2,3,1000.0,2,,2,2,2,2,16586.07,13652.17,13652.17,10986.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2933.9,-87,0.0,10,1,1
10000600,307.50238,4,4,1.5,1999,2,1,115.0,1.0,225.0,,1,1,3.0,3.0,3.0,1,1,2,3,1,1,3,3000.0,2,2.0,2,1,1,2,22549.45,19111.07,14497.29,10735.59,0.0,0.0,4613.78,3858.34,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,3438.38,-57,0.0,10,1,1
10001100,256.59559,4,1,2.0,2000,2,1,,180.0,108.33,,1,1,,3.0,,1,1,1,1,1,1,4,800.0,2,,1,2,2,2,41911.77,32216.48,32216.48,32216.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,9695.29,0,0.0,10,1,1
10001200,257.78839,3,1,4.0,2007,1,1,,450.0,9.25,,1,1,3.0,3.0,,1,1,1,1,1,1,5,550.0,3,,2,2,2,2,24100.22,20243.55,20175.19,17618.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.01,0.01,0,0.0,0.0,0.0,0,0,3856.67,-576,0.0,10,1,1
10001300,370.96012,3,1,3.0,1970,2,2,,,177.5,,1,1,,3.0,,2,1,1,1,1,1,3,1000.0,2,,2,2,2,2,28989.02,24143.69,23899.16,23899.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.0,15.0,0,0.0,0.0,0.0,0,0,4845.33,-431,157.79,10,1,1
10001400,196.01531,4,5,2.0,2015,2,2,,350.0,1.0,,1,1,,,,2,2,2,2,1,1,1,700.0,3,,2,2,2,2,2994.94,2875.98,-118.96,-118.96,0.0,0.0,2994.94,2395.98,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,118.96,-480,0.0,10,1,1
10001500,73.607,4,1,3.0,1988,2,2,,100.0,50.0,,1,1,,3.0,,1,1,1,1,1,1,3,1000.0,2,,2,1,1,2,26342.51,23750.76,20986.25,12506.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2591.75,0,209.06,10,1,1
10001800,207.11655,4,1,2.0,1984,2,2,,300.0,80.0,,2,1,,3.0,,1,1,1,1,3,1,4,600.0,2,,2,1,1,2,15441.08,11610.68,10789.84,10789.84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,900,0,2930.4,-75,0.0,10,1,1
10001900,174.38719,4,1,4.0,1976,2,2,,400.0,150.0,,1,1,,3.0,,2,2,2,2,3,2,2,600.0,1,,2,2,2,2,11355.54,11355.54,11355.54,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4800.0,4800.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
