PB030,HB030,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,RB050,AGE,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL050,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY070G,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10645101,106451,1,,,10645103,,,,,,,315.95215,54,2,1,2,,1990,5,2,2,3,2,,2,,,,,1,3,31,70,12,0,0,0,0,0,0,0,0,0,0,,3,,11,2,1,13411,12204.01,4500,0,4157.41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
10645102,106451,2,10645101,10645103,,,,,,,,315.95215,26,1,3,2,,2008,5,,2,3,2,,2,,,,,2,3,51,20,0,12,0,0,0,0,0,0,0,0,0,,96,3,7,1,2,4800,4368,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
10645103,106451,2,,,10645101,,,,,,,315.95215,50,2,1,2,,1980,4,3,1,2,2,,2,,1,2,,10,3,52,,0,0,0,0,0,0,0,0,0,12,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
10645201,106452,1,,,10645202,,,,,,,165.81519,54,2,1,2,,1994,4,1,2,3,2,,2,,,,,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,,85,,13,1,2,10243,8599.13,0,0,3175.33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
10645202,106452,2,,,10645201,,,,,,,165.81519,50,2,1,2,,1982,5,2,2,3,2,,2,,,,,1,3,23,36,12,0,0,0,0,0,0,0,0,0,0,,85,,13,1,2,8881.87,7605.5,0,0,2753.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
10645203,106452,2,10645201,10645202,,,,,,,,165.81519,16,1,3,1,3,2010,2,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,2,2,1
10645301,106453,1,,,10645302,,,,,,,261.18944,54,2,1,2,,1974,4,,2,3,2,,2,,,,,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,,41,,11,1,2,11007.19,9128.54,0,0,3412.23,0,0,0,5484.1,0,0,0,0,0,0,0,0,0,1,7,2
10645302,106453,2,,,10645301,,,,,,,261.18944,52,2,1,2,,1988,4,4,1,1,2,,2,,1,2,,8,3,24,,0,0,0,0,0,0,12,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9623.52,0,1,7,2
10645303,106453,1,10645301,10645302,,,,,,,,261.18944,18,1,3,1,3,2008,2,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
10645401,106454,1,,,10645402,,,,,,,203.77313,54,2,1,2,,1981,5,4,2,3,2,,2,,,,,1,3,24,40,12,0,0,0,0,0,0,0,0,0,0,,78,,13,1,2,31821.2,24364.73,0,0,9864.57,0,0,0,0,0,0,0,0,0,0,0,8065.56,0,10,1,1
10645402,106454,2,,,10645401,,,,,,,203.77313,51,2,1,2,,1983,5,2,2,3,2,,2,,,,,1,3,24,40,12,0,0,0,0,0,0,0,0,0,0,,47,,12,1,2,26210.55,20268.78,0,0,8125.27,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1
10645501,106455,1,,,10645502,,,,,,,86.37681,54,2,1,2,,1974,4,3,2,3,2,,2,,1,1,1,5,3,81,,0,0,0,0,12,0,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,1107.91,0,546,546,0,0,0,0,0,0,1,6,1
10645502,106455,2,,,10645501,,,,,,,86.37681,50,2,1,2,,1978,4,3,2,3,2,,2,,,,,2,3,91,20,0,12,0,0,0,0,0,0,0,0,0,,10,3,11,1,2,8540.37,7353.74,0,0,2647.51,0,0,0,0,0,0,0,0,0,803.78,634.98,0,0,1,6,1
10645503,106455,2,10645501,10645502,,,,,,,,86.37681,29,1,3,2,,2003,5,2,2,3,2,,2,,,,,1,3,32,40,12,0,0,0,0,0,0,0,0,0,0,,86,,11,1,2,10793.28,9192.88,0,0,3345.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
10645504,106455,1,10645501,10645502,,,,,,,,86.37681,17,1,3,1,3,2009,2,2,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
